"Owner","Certificate Issuer Organization","Certificate Issuer Organizational Unit","Common Name or Certificate Name","Certificate Serial Number","SHA-256 Fingerprint","Subject + SPKI SHA256","Valid From [GMT]","Valid To [GMT]","Public Key Algorithm","Signature Hash Algorithm","Trust Bits","Distrust for TLS After Date","Distrust for S/MIME After Date","EV Policy OID(s)","Approval Bug","NSS Release When First Included","Firefox Release When First Included","Test Website - Valid","Test Website - Expired","Test Website - Revoked","Mozilla Applied Constraints","Company Website","Geographic Focus","Certificate Policy (CP)","Certification Practice Statement (CPS)","Certificate Practice & Policy Statement (CP/CPS)","Standard Audit","NetSec Audit","TLS BR Audit","TLS EVG Audit","S/MIME BR Audit","Audit Firm","Standard Audit Type","Standard Audit Statement Dt"
"Actalis","Actalis S.p.A./03358520967","","Actalis Authentication Root CA","570A119742C4E3CC","55926084EC963A64B96E2ABE01CE0BA86A64FBFEBCC7AAB5AFC155B37FD76066","362588CB736FFCA8E8CA1A485F8D0FD3FE4A32A1EDB3606E71A5F2F7986A4B34","2011.09.22","2030.09.22","RSA 4096 bits","SHA256WithRSA","Websites;Email","","","1.3.159.1.17.1","https://bugzilla.mozilla.org/show_bug.cgi?id=1176188","NSS 3.13.6","Firefox 16","https://ssltest-active.actalis.it/","https://ssltest-expired.actalis.it/","https://ssltest-revoked.actalis.it/","","http://www.actalis.it/","Italy","","","https://www.actalis.com/cps-for-ssl-server-and-code-signing","https://cdn1-www.bureauveritas.it/sites/g/files/zypfnx256/files/media/document/25_CAB-Forum_AAL_Actalis_Standard_Audit_E_V3.3_r1.pdf","","https://cdn1-www.bureauveritas.it/sites/g/files/zypfnx256/files/media/document/25_CAB-Forum_AAL_Actalis_TLS-BR_Audit_E_V3.2.pdf","https://cdn1-www.bureauveritas.it/sites/g/files/zypfnx256/files/media/document/25_CAB-Forum_AAL_Actalis_TLS-EV_Audit_E_V3.2_.pdf","https://cdn1-www.bureauveritas.it/sites/g/files/zypfnx256/files/media/document/25_CAB-Forum_AAL_Actalis_SMIME-BR_Audit_E_V3.2.pdf","Bureau Veritas Italia S.p.A","ETSI EN 319 411","2025.06.16"
"Agence Nationale de Certification Electronique","Agence Nationale de Certification Electronique","","TunTrust Root CA","1302D5E2404C92468616675DB4BBBBB26B3EFC13","2E44102AB58CB85419451C8E19D9ACF3662CAFBC614B6A53960A30F7D0E2EB41","E2B4232FD24F4066F48DE6111067236E984B0074806920E16EC10EE8A5761863","2019.04.26","2044.04.26","RSA 4096 bits","SHA256WithRSA","Websites","","","Not EV","https://bugzilla.mozilla.org/show_bug.cgi?id=1587779","NSS 3.71","Firefox 94","https://validovssl.tuntrust.tn","https://expiredovssl.tuntrust.tn","https://revokedovssl.tuntrust.tn","","https://www.tuntrust.tn/","Tunisia","","","https://www.tuntrust.tn/sites/default/files/Ressources/CPCPS-TunTrustPKI-06.pdf","https://www.cpacanada.ca/api/getPDFWebTrust?attachmentId=0e6d490a-3679-4ea4-8e17-dd2413508805","https://www.cpacanada.ca/api/getPDFWebTrust?attachmentId=ecf3a05e-686b-4485-b697-139bc863bda6","https://www.cpacanada.ca/api/getPDFWebTrust?attachmentId=1829f969-1c8f-4611-9370-b791cf01e71d","","","Deloitte","WebTrust","2024.12.13"
"Amazon Trust Services","Amazon","","Amazon Root CA 1","066C9FCF99BF8C0A39E2F0788A43E696365BCA","8ECDE6884F3D87B1125BA31AC3FCB13D7016DE7F57CC904FE1CB97C6AE98196E","99D5D46631FE07C70451AFF54AD78F56A2FA84FED847B237F8D81F845FA88D20","2015.05.26","2038.01.17","RSA 2048 bits","SHA256WithRSA","Websites;Email","","","2.23.140.1.1","https://bugzilla.mozilla.org/show_bug.cgi?id=1172401","NSS 3.28.1","Firefox 51","https://good.sca1a.amazontrust.com/","https://expired.sca1a.amazontrust.com/","https://revoked.sca1a.amazontrust.com/","","https://www.amazontrust.com/","USA, Global","","","https://www.amazontrust.com/repository/cp-cps__2-0.pdf","https://www.cpacanada.ca/api/getPDFWebTrust?attachmentId=025cc3d5-9616-4379-8ba8-86ba5f1c338f","https://www.cpacanada.ca/api/getPDFWebTrust?attachmentId=6ad44591-aa07-4784-9a9e-591eb51bc7f5","https://www.cpacanada.ca/api/getPDFWebTrust?attachmentId=732edad5-f68c-4cf1-af4e-b288f506b4c0","https://www.cpacanada.ca/api/getPDFWebTrust?attachmentId=a48486b2-7462-41e7-bead-9a3c66da6cb5","https://www.cpacanada.ca/api/getPDFWebTrust?attachmentId=5e6715a8-ebe1-4999-8db6-09fa1315cc0b","BDO International Limited","WebTrust","2025.04.10"
"Amazon Trust Services","Amazon","","Amazon Root CA 2","066C9FD29635869F0A0FE58678F85B26BB8A37","1BA5B2AA8C65401A82960118F80BEC4F62304D83CEC4713A19C39C011EA46DB4","932910001CD24A7F1F483CEFFF6D268CAAD9D93D7520575EFCE0057E1171505C","2015.05.26","2040.05.26","RSA 4096 bits","SHA384WithRSA","Websites;Email","","","2.23.140.1.1","https://bugzilla.mozilla.org/show_bug.cgi?id=1172401","NSS 3.28.1","Firefox 51","https://valid.rootca2.demo.amazontrust.com/","https://expired.sca2a.amazontrust.com/","https://revoked.sca2a.amazontrust.com/","","https://www.amazontrust.com/","USA, Global","","","https://www.amazontrust.com/repository/cp-cps__2-0.pdf","https://www.cpacanada.ca/api/getPDFWebTrust?attachmentId=025cc3d5-9616-4379-8ba8-86ba5f1c338f","https://www.cpacanada.ca/api/getPDFWebTrust?attachmentId=6ad44591-aa07-4784-9a9e-591eb51bc7f5","https://www.cpacanada.ca/api/getPDFWebTrust?attachmentId=732edad5-f68c-4cf1-af4e-b288f506b4c0","https://www.cpacanada.ca/api/getPDFWebTrust?attachmentId=a48486b2-7462-41e7-bead-9a3c66da6cb5","https://www.cpacanada.ca/api/getPDFWebTrust?attachmentId=5e6715a8-ebe1-4999-8db6-09fa1315cc0b","BDO International Limited","WebTrust","2025.04.10"
"Amazon Trust Services","Amazon","","Amazon Root CA 3","066C9FD5749736663F3B0B9AD9E89E7603F24A","18CE6CFE7BF14E60B2E347B8DFE868CB31D02EBB3ADA271569F50343B46DB3A4","2FAB16B84325529639A1ECAA772A39814B6456CA68E5E017E3F9A8787E250FFC","2015.05.26","2040.05.26","EC secp256r1","ecdsaWithSHA256","Websites;Email","","","2.23.140.1.1","https://bugzilla.mozilla.org/show_bug.cgi?id=1172401","NSS 3.28.1","Firefox 51","https://good.sca3a.amazontrust.com/","https://expired.sca3a.amazontrust.com/","https://revoked.sca3a.amazontrust.com/","","https://www.amazontrust.com/","USA, Global","","","https://www.amazontrust.com/repository/cp-cps__2-0.pdf","https://www.cpacanada.ca/api/getPDFWebTrust?attachmentId=025cc3d5-9616-4379-8ba8-86ba5f1c338f","https://www.cpacanada.ca/api/getPDFWebTrust?attachmentId=6ad44591-aa07-4784-9a9e-591eb51bc7f5","https://www.cpacanada.ca/api/getPDFWebTrust?attachmentId=732edad5-f68c-4cf1-af4e-b288f506b4c0","https://www.cpacanada.ca/api/getPDFWebTrust?attachmentId=a48486b2-7462-41e7-bead-9a3c66da6cb5","https://www.cpacanada.ca/api/getPDFWebTrust?attachmentId=5e6715a8-ebe1-4999-8db6-09fa1315cc0b","BDO International Limited","WebTrust","2025.04.10"
"Amazon Trust Services","Amazon","","Amazon Root CA 4","066C9FD7C1BB104C2943E5717B7B2CC81AC10E","E35D28419ED02025CFA69038CD623962458DA5C695FBDEA3C22B0BFB25897092","C9B81D09BD1E2C0B56D7199B112DA2B9A4A59DE2D0868B7DE7118E04FB931985","2015.05.26","2040.05.26","EC secp384r1","ecdsaWithSHA384","Websites;Email","","","2.23.140.1.1","https://bugzilla.mozilla.org/show_bug.cgi?id=1172401","NSS 3.28.1","Firefox 51","https://good.sca4a.amazontrust.com/","https://expired.sca4a.amazontrust.com/","https://revoked.sca4a.amazontrust.com/","","https://www.amazontrust.com/","USA, Global","","","https://www.amazontrust.com/repository/cp-cps__2-0.pdf","https://www.cpacanada.ca/api/getPDFWebTrust?attachmentId=025cc3d5-9616-4379-8ba8-86ba5f1c338f","https://www.cpacanada.ca/api/getPDFWebTrust?attachmentId=6ad44591-aa07-4784-9a9e-591eb51bc7f5","https://www.cpacanada.ca/api/getPDFWebTrust?attachmentId=732edad5-f68c-4cf1-af4e-b288f506b4c0","https://www.cpacanada.ca/api/getPDFWebTrust?attachmentId=a48486b2-7462-41e7-bead-9a3c66da6cb5","https://www.cpacanada.ca/api/getPDFWebTrust?attachmentId=5e6715a8-ebe1-4999-8db6-09fa1315cc0b","BDO International Limited","WebTrust","2025.04.10"
"Amazon Trust Services","Starfield Technologies, Inc.","","Starfield Services Root Certificate Authority - G2","00","568D6905A2C88708A4B3025190EDCFEDB1974A606A13C6E5290FCB2AE63EDAB5","3455A4C6FBEC86F4F02B35A37B5E6CF74C35ACAC1F7AA3A056BE6E656CA17A06","2009.09.01","2037.12.31","RSA 2048 bits","SHA256WithRSA","Websites","","","2.23.140.1.1","https://bugzilla.mozilla.org/show_bug.cgi?id=1172401","NSS 3.12.10","Firefox 6.0","https://good.sca0a.amazontrust.com/","https://expired.sca0a.amazontrust.com/","https://revoked.sca0a.amazontrust.com/","","https://www.amazontrust.com/","USA, Global","","","https://www.amazontrust.com/repository/cp-cps__2-0.pdf","https://www.cpacanada.ca/api/getPDFWebTrust?attachmentId=025cc3d5-9616-4379-8ba8-86ba5f1c338f","https://www.cpacanada.ca/api/getPDFWebTrust?attachmentId=6ad44591-aa07-4784-9a9e-591eb51bc7f5","https://www.cpacanada.ca/api/getPDFWebTrust?attachmentId=732edad5-f68c-4cf1-af4e-b288f506b4c0","https://www.cpacanada.ca/api/getPDFWebTrust?attachmentId=a48486b2-7462-41e7-bead-9a3c66da6cb5","https://www.cpacanada.ca/api/getPDFWebTrust?attachmentId=5e6715a8-ebe1-4999-8db6-09fa1315cc0b","BDO International Limited","WebTrust","2025.04.10"
"Asseco Data Systems S.A. (previously Unizeto Certum)","Unizeto Sp. z o.o.","","Certum CA","010020","D8E0FEBC1DB2E38D00940F37D27D41344D993E734B99D5656D9778D4D8143624","AA6315C8D0FEB53C5492B750F0E480840FDD33F2DEEE4B03D5458CB5C07FE8DA","2002.06.11","2027.06.11","RSA 2048 bits","SHA1WithRSA","Email","","","Not EV","https://bugzilla.mozilla.org/show_bug.cgi?id=167572","NSS 3.9.3","Firefox 1","","","","","https://www.certum.eu/en/","Poland, Global","https://www.certum.eu/en/wp-content/uploads/2024/12/CCP-DK02-ZK01-Certification-Policy-of-CERTUM-Certification-Services_v5.1.pdf","https://www.certum.eu/en/wp-content/uploads/2025/07/CCP-DK02-ZK02-Certification-Practice-Statement-of-Certum-Certification-Services_v7.13_v2.pdf","","https://www.cpacanada.ca/api/getPDFWebTrust?attachmentId=17bab9fb-e2f4-4031-9424-e6645249b5c3","","https://www.cpacanada.ca/api/getPDFWebTrust?attachmentId=df1c5588-75d5-4a0f-a787-bab5571f76b5","https://www.cpacanada.ca/api/getPDFWebTrust?attachmentId=10a7a7e2-37b4-4360-a206-3660ccd47f80","https://www.cpacanada.ca/api/getPDFWebTrust?attachmentId=c63865bd-2770-4c3b-aefe-c7143831709d","Ernst & Young, LLP","WebTrust","2025.04.04"
"Asseco Data Systems S.A. (previously Unizeto Certum)","Asseco Data Systems S.A.","Certum Certification Authority","Certum EC-384 CA","788F275C81125220A504D02DDDBA73F4","6B328085625318AA50D173C98D8BDA09D57E27413D114CF787A0F5D06C030CF6","EB9DB17E41EF5B74C5A3ECB9A4AF55C52DC389E4EB6A9CC33588AE7E102B3C9F","2018.03.26","2043.03.26","EC secp384r1","ecdsaWithSHA384","Websites;Email","","","2.23.140.1.1","https://bugzilla.mozilla.org/show_bug.cgi?id=1598577","NSS 3.66","Firefox 90","https://valid-cec384ca.certificates.certum.pl","https://expired-cec384ca.certificates.certum.pl","https://revoked-cec384ca.certificates.certum.pl","","https://www.certum.eu/en/","Poland, Global","https://www.certum.eu/en/wp-content/uploads/2024/12/CCP-DK02-ZK01-Certification-Policy-of-CERTUM-Certification-Services_v5.1.pdf","https://www.certum.eu/en/wp-content/uploads/2025/07/CCP-DK02-ZK02-Certification-Practice-Statement-of-Certum-Certification-Services_v7.13_v2.pdf","","https://www.cpacanada.ca/api/getPDFWebTrust?attachmentId=17bab9fb-e2f4-4031-9424-e6645249b5c3","","https://www.cpacanada.ca/api/getPDFWebTrust?attachmentId=df1c5588-75d5-4a0f-a787-bab5571f76b5","https://www.cpacanada.ca/api/getPDFWebTrust?attachmentId=10a7a7e2-37b4-4360-a206-3660ccd47f80","https://www.cpacanada.ca/api/getPDFWebTrust?attachmentId=c63865bd-2770-4c3b-aefe-c7143831709d","Ernst & Young, LLP","WebTrust","2025.04.04"
"Asseco Data Systems S.A. (previously Unizeto Certum)","Unizeto Technologies S.A.","Certum Certification Authority","Certum Trusted Network CA","0444C0","5C58468D55F58E497E743982D2B50010B6D165374ACF83A7D4A32DB768C4408E","99997F529F3618B4AF9C33CAFFD9282ED7E22CD45379E3C828EDAC4D04C169ED","2008.10.22","2029.12.31","RSA 2048 bits","SHA1WithRSA","Websites;Email","","","1.2.616.1.113527.2.5.1.1","https://bugzilla.mozilla.org/show_bug.cgi?id=532377","NSS 3.12.10","Firefox 6.0","https://valid-certum-ctnca.certificates.certum.pl","https://expired-certum-ctnca.certificates.certum.pl","https://revoked-certum-ctnca.certificates.certum.pl","","https://www.certum.eu/en/","Poland, Global","https://www.certum.eu/en/wp-content/uploads/2024/12/CCP-DK02-ZK01-Certification-Policy-of-CERTUM-Certification-Services_v5.1.pdf","https://www.certum.eu/en/wp-content/uploads/2025/07/CCP-DK02-ZK02-Certification-Practice-Statement-of-Certum-Certification-Services_v7.13_v2.pdf","","https://www.cpacanada.ca/api/getPDFWebTrust?attachmentId=17bab9fb-e2f4-4031-9424-e6645249b5c3","","https://www.cpacanada.ca/api/getPDFWebTrust?attachmentId=df1c5588-75d5-4a0f-a787-bab5571f76b5","https://www.cpacanada.ca/api/getPDFWebTrust?attachmentId=10a7a7e2-37b4-4360-a206-3660ccd47f80","https://www.cpacanada.ca/api/getPDFWebTrust?attachmentId=c63865bd-2770-4c3b-aefe-c7143831709d","Ernst & Young, LLP","WebTrust","2025.04.04"
